Hotel City,Hotelname,Twitter Handle,Website,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20
Faliraki,Elysium Resort & Spa Hotel,elysiumresort,https://www.elysium.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roda,Hotel Angela Beach,,https://angelabeachcorfu.com/el/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marmari,Hotel Palladium,,https://www.hotelpalladiumkos.gr/?page=home&lg_id=3,534581091,97211244,48862605,2995725407,1003594146,73442232,227294909,3576240495,2492000881,1734724410,1288448342,243344399,366770655,141637914,0,0,0,0,0,0
Analipsi,Lyttos Beach Hotel,,https://www.lyttosbeach.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marmari,Caravia Beach Hotel & Bungalows,Caravia_Beach,https://caraviabeach.gr/en/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faliraki,Hotel Mitsis Faliraki Beach,mitsishotels,https://www.mitsishotels.com/en/hotels/faliraki-beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rethymno,Hotel Odyssia Beach,,https://odyssia.gr/,902522252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anissaras,Hotel Anissa Beach & Village,AnissaBeachGR,https://anissabeach.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolymbia,Delfinia Resort,,https://delfiniaresort.com/el/,2606863920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sisi,Maritimo Beach Hotel,,https://maritimo.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malia,Hotel Malia Bay,,http://www.maliabay.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgioupolis,Georgioupolis Resort Aquapark & SPA,,https://georgioupolis-resort.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgioupolis,Hotel Corissia Beach,corissia,https://corissia.com/en/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agia Pelagia,Hotel Alexander House,,http://www.alexanderhouse.gr/en/,338276362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgioupolis,Anemos Luxury Grand Resort,AnemosResort,https://www.anemosresort.com/en-gb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ligaria,CHC Athina Palace Resort & Spa,,https://www.athinapalace.com.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikiti,Hotel Xenios Zeus,,https://www.xenioshotel.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolymbia,Irene Palace Beach Resort,irenepalace,https://www.irenepalace.gr/,848839310598164480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matala,Matala Valley Village,,https://www.valleyvillage.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stalis,Hotel Marlena,,https://www.marlenahotel.gr/,3367542605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Analipsi,INSULA ALBA Resort & Spa,,http://www.insulaalba.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pefkochori,Hotel Atrium,AtriumHotels,https://www.atrium.gr/,4831442189,222198552,53044747,245695573,479796529,82379971,814698895544614912,311573586,2507030041,386564171,288818371,814697666886139904,58446828,43370735,776391584401199105,1138379677,3363860559,157745168,3602038517,951026720756269056
Nafplio,Hotel Victoria,,https://hotelvictoria.gr/en/,1038062907903365120,28442504,607231414,1679326891,1121453704224362496,54200262,1377084344,351146253,394056275,24773851,102908000,3249653286,146189774,219098606,103192977,1453172911,513341301,278040341,889506700314673152,110636967
Plakias,Sofia Hotel,,https://www.sofiahotelplakias.com/,24312000,63439146,1100970942,72522591,858368132,306267664,394593739,3762676522,948414037,2388999318,855397240264945664,953649306879381504,3246029924,96134414,1096701015779229697,847715807064805376,2721667704,1164379104960864256,3014370418,314446231
Afandou,Aelia Resort,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psalidi,SENSIMAR Oceanis Beach & Spa Resort,OceanisKos,https://www.oceanis-hotel.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marmari,Hotel Sandy Beach,SandyHotelKos,https://hotelsandy.com/,191152262,137692029,438237482,26014248,306470860,808515570,775523894,497849509,191484442,58828292,0,0,0,0,0,0,0,0,0,0
Kallithea,Hotel La Marquise Luxury Resort Complex,,https://www.lamarquise.gr/el/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Platanias,Rethymno Village,,https://www.rethymnovillage.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stalis,SENTIDO Blue Sea Beach,,https://www.zeushotels.gr/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigaki,Hotel Gaia Village,Gaia_Village,https://www.gaia-hotels.com/gaia-village-hotel.html,377228617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ipsos,Marilena Sea View Hotel,,https://marilenahotel.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kallithea,Hotel Kalithea Mare Palace,,https://www.kalitheamare.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malia,Ikaros Beach Luxury Resort & Spa,,https://www.ikarosvillage.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cap Sani,Sani Beach,sani_resort,https://www.sani-resort.com/el_GR/our-hotels/sani-beach-hotel,380903290,470972803,1425794869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agios Petros,Mayor Capo Di Corfu,capodicorfu,https://www.mayorcapodicorfu.com/en/,4803060627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rethymno,SENTIDO Aegean Pearl,PearlHotels,https://pearlhotels.gr/aegean-pearl-5star-hotel-in-rethymno/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiotari,Ekaterini Hotel,,https://ekaterini-hotel.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amoudara,TUI MAGIC LIFE Candia Maris,CandiaMaris,http://www.candiamaris.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faliraki,Hotel Castello Di Cavalieri Suites,,http://www.castello-suites.com/home/gr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerakini,Hotel Sonia Village,,https://www.hotel-sonia.gr/new2018/index.php/el/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amoudara,Apollonia Beach Resort & Spa,ApolloniaHotel,https://www.apollonia.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgioupolis,Hotel Pilot Beach,PilotBeach,https://www.pilot-beach.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pefkochori,Hotel Alia Palace,,https://www.alia-palace.com/,499624192,181104894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Analipsi,Stella Island Resort & Spa,,https://stellaisland.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyllini,ROBINSON Club Kyllini Beach,ROBINSON,https://www.robinson.com/en/en/home/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ialysos,Hotel Blue Horizon,,https://www.bluehorizonhotel.gr/,28689856,188228818,1069206005022547971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malia,Hotel Meropi,,https://www.meropihotel.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kardamena,Grand Blue Beach Hotel,,https://www.grandbluehotel.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lindos,Lindos White Hotel & Suites,,https://lindoswhite.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paradeísion,Vallian Village Hotel,,https://www.vallianvillage.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigaki,Hotel Gaia In Style,,https://www.gaia-hotels.com/gaia-instyle-hotel.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roda,Angela Beach Apartments Superior,,https://angelabeachcorfu.com/apartments-angela-beach-corfu/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bali,Hotel Bali Blue Bay,,https://www.balibluebay.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chersónisos / Hersonissos,Hotel King Minos Palace,,http://www.kingminospalace.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chersónisos / Hersonissos,Hersonissos Village Hotel & Bungalows,,https://www.hersotels.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stalis,Sergiani Garden Apartments,sergianistalis,https://sergiani.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mastichari,Hotel Princess of Kos,SmyHotels,https://www.smyprincessofkos.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mastichari,TUI MAGIC LIFE Marmari Palace by Atlantica,,https://www.magiclife.com/en/en/resort-holiday/greece/marmari-palace/resort-details/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chersónisos / Hersonissos,Hotel Nana Beach,,https://www.nanagoldenbeach.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodos Stadt,smartline Semiramis,,https://www.semiramis.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ialysos,Hotel Sirene Beach,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plimmiri,TUI MAGIC LIFE Plimmiri,,https://www.magiclife.com/en/en/home/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acharavi,Hotel Matoula,,http://matoulacorfu.com/el/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chersónisos / Hersonissos,Hotel Albatros,,https://www.albatros-hotel.gr/en/,196753517,414876095,3136891497,407951956,2509837867,895106941709676544,117175561,1281505644,2890647707,1196901278,2342720898,1595926056,606801308,1007271653628370944,291028865,895104754669543424,362386063,789470898,482829385,791256714
Kolymbia,Niriides Hotel,,https://www.niriideshotel.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamari,Hotel Glaros,,https://www.glaroshotel.com/,395395472,2414145763,4888777204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gouves,Hotel Gouves Park Holiday Resort & Waterpark,,https://www.gouvespark.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kallithea,Hotel Esperides Beach/Family Resort,,https://www.esperiagroup.gr/en/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anissaras,Annabelle Beach Resort,,http://www.annabellebeachresort.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agios Gordios,Mayor La Grotta Verde Grand Resort,mayorlagrotta,https://www.mayorlagrottaverde.com/en/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kardamena,Hotel Akti Beach Club,AktiClub,https://aktibeachclub.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mastichari,Hotel Horizon Beach Resort,HorizonKos,https://horizonbeachresort.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ixia,Dionysos Hotel,,https://www.hotel-dionysos-thassos.gr/,730823603361595392,108736728,739090204410122240,47558440,777512809362026496,2427243264,705795237793374208,3243454943,984015696832221184,4884657657,4892206780,0,0,0,0,0,0,0,0,0
Nea Potidea,Hotel Istion Club & Spa,,https://istionclub.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paleochora,Hotel Sandy Beach,,https://sandy-beach.gr/,191152262,137692029,438237482,26014248,306470860,808515570,775523894,497849509,191484442,58828292,0,0,0,0,0,0,0,0,0,0
Acharavi,Hotel Acharavi Beach,,https://www.acharavibeach.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adelianos Kampos,Hotel Kathrin Beach,,https://kathrinbeach.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolymbia,Hotel Relax,,https://www.relaxhotel.gr/,2478796116,161609774,378739683,246435474,117793333,276898842,22803573,59493406,368791678,89423694,2830102486,1585345051,352381667,100238229,109556312,1037645784915869696,2923154567,39459860,223779002,70424509
Stalis,Eurohotel Katrin Hotel & Bungalows,Katrinhotel,https://katrin-hotel.gr/en/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tigaki,Hotel Tigaki’s Star,TigakisStar,https://www.tigakisstar.gr/,2313481554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbati / Mparmpati,Hotel Nautilus Barbati,,https://www.corfuholiday.gr/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
