Name,GoogleAPI Fullnames,GoogleAPI Surnames,TwitterAPI Fullnames,TwitterAPI Surnames,TwitterAPI SurnamesLatin,GoogleAPI SurnamesLatin
Τσαβδαρίδης Λάζαρος,False,False,False,False,True,True
Σενετάκης Μάξιμος,True,True,True,True,False,True
Αυγενάκης Ελευθέριος,True,True,False,False,True,False
Γιόγιακας Βασίλειος,False,False,True,True,False,False
Γκιουλέκας Κωνσταντίνος,True,True,True,True,False,False
Καλαφάτης Σταύρος,True,True,True,True,False,True
Ευθυμίου Άννα,True,True,True,True,False,False
Σιμόπουλος Στράτος,True,True,False,False,False,True
Ράπτη Ελένη,True,False,True,True,False,False
Κούβελας Δημήτριος,True,True,False,False,True,True
Καράογλου Θεόδωρος,True,True,True,True,True,False
Βαρτζόπουλος Δημήτριος,True,True,False,False,True,True
Αναστασιάδης Σάββας,True,True,True,True,False,True
Αμυράς Γεώργιος,True,True,False,True,True,False
Παναγιωτόπουλος Νικόλαος,True,True,True,True,False,True
Πασχαλίδης Ιωάννης,True,True,False,True,False,False
Λαζαρίδης Μακάριος,True,True,True,True,False,True
Κωτσός Γεώργιος,False,False,False,False,False,False
Σκόνδρα Ασημίνα,False,False,True,True,True,False
Τσιάρας Κωνσταντίνος,True,True,False,False,False,True
Γκίκας Στέφανος,True,True,False,False,False,True
Καππάτος Παναγής,True,True,True,True,False,True
Γεωργαντάς Γεώργιος,True,True,False,False,True,True
Βρυζίδου Παρασκευή,False,False,True,True,False,False
Αμανατίδης Γεώργιος,True,False,False,False,False,False
Παπαδόπουλος Μιχάλης,False,False,False,False,False,False
Κωνσταντινίδης Ευστάθιος,False,False,False,False,False,False
Σούκουλη Μαριλένα,True,True,True,True,False,True
Ταγαράς Νικόλαος,False,True,False,True,True,True
Δήμας Χρίστος,True,True,True,True,False,True
Βρούτσης Ιωάννης,True,True,False,True,True,True
Μονογυιού Αικατερίνη,False,False,False,False,False,False
Κρητικός Νεοκλής,False,False,False,False,False,False
Δαβάκης Αθανάσιος,True,True,True,True,True,False
Κέλλας Χρήστος,True,True,True,True,False,True
Μπίζιου Στέλλα,False,False,False,False,True,False
Χαρακόπουλος Μάξιμος,True,True,True,True,True,True
Πλακιωτάκης Ιωάννης,True,True,True,True,True,True
Αθανασίου Χαράλαμπος,True,True,True,True,False,False
Μπουκώρος Χρήστος,True,True,True,True,True,False
Μαραβέγιας Κωνσταντίνος,False,False,False,False,False,False
Μακρή Ζέττα,True,False,True,True,False,True
Μαντάς Περικλής,True,True,True,True,False,False
Σαμαράς Αντώνιος,True,True,True,True,False,False
Χρυσομάλλης Μίλτος,True,False,False,False,True,True
Σταμενίτης Διονύσιος,True,True,False,True,False,False
Βασιλειάδης Λάκης,True,False,False,False,False,True
Μπαραλιάκος Φώντας,False,True,False,False,True,True
Χιονίδης Σάββας,True,False,False,False,True,True
Κεφαλογιάννης Ιωάννης,True,False,True,True,True,True
Στυλιανίδης Ευριπίδης,True,True,True,True,True,True
Στεφανάδης Χριστόδουλος,False,True,False,False,True,False
Λεονταρίδης Θεόφιλος,True,True,True,True,True,True
Καραμανλής Κωνσταντίνος,True,True,False,True,False,True
Αραμπατζή Φωτεινή,True,True,False,False,True,True
Χατζηβασιλείου Τάσος,True,False,False,False,True,True
Σκρέκας Κωνσταντίνος,True,True,True,True,True,False
Παπακώστα Κατερίνα,True,False,True,True,False,False
Οικονόμου Ιωάννης,False,False,False,True,False,False
Σταϊκούρας Χρήστος,True,True,False,True,True,True
Χειμάρας Θέμης,True,False,False,False,True,True
Αντωνιάδης Ιωάννης,True,False,False,False,False,False
Μπούγας Ιωάννης,True,True,True,True,False,False
Βαγιωνάς Γεώργιος,False,True,False,True,True,False
Διγαλάκης Βασίλειος,True,True,False,True,False,True
Μπακογιάννη Ντόρα,True,True,True,True,True,True
Βολουδάκης Κωνσταντίνος,False,True,False,True,True,True
Μηταράκης Νότης,True,True,True,True,True,True
Αχτσιόγλου Ευτυχία,False,True,False,True,True,False
Σκουρλέτης Πάνος,True,True,True,True,True,True
Φίλης Νικόλαος,True,True,False,True,False,True
Τζανακόπουλος Δημήτριος,True,True,False,True,True,True
Βερναρδάκης Χριστόφορος,True,True,False,True,True,True
Ζαχαριάδης Κωνσταντίνος,False,True,False,False,False,False
Κατρούγκαλος Γεώργιος,False,True,False,True,True,True
Ξενογιαννακοπούλου Μαριλίζα,False,False,False,False,True,False
Τσακαλώτος Ευκλείδης,True,True,True,True,True,False
Παπαχριστόπουλος Θανάσης,True,True,False,True,False,False
Δραγασάκης Ιωάννης,True,True,False,True,True,True
Βίτσας Δημήτριος,True,True,False,True,False,False
Παππάς Νικόλαος,True,True,False,True,False,True
Μουζάλας Ιωάννης,False,True,False,False,True,True
Μπαλάφας Ιωάννης,False,True,True,True,True,False
Φωτίου Θεανώ,True,True,True,True,False,True
Χρηστίδου Ραλλία,True,True,False,False,True,True
Κασιμάτη Νίνα,True,True,True,True,False,True
Ραγκούσης Ιωάννης,False,True,False,False,True,False
Σκουρολιάκος Πάνος,True,True,False,False,True,True
Σπίρτζης Χρήστος,True,True,True,True,True,True
Αθανασίου Νάσος,True,False,True,True,False,False
Τσίπρας Γεώργιος,True,False,False,True,False,False
Βαρεμένος Γεώργιος,True,True,False,False,True,False
Μωραΐτης Θάνος,True,True,True,True,False,False
Γεροβασίλη Όλγα,True,True,True,True,True,True
Αναγνωστοπούλου Σία,True,True,True,True,True,True
Τσίπρας Αλέξιος,False,True,True,True,True,False
Πούλου Γιώτα,False,False,True,False,False,False
Ξανθόπουλος Θεόφιλος,True,True,True,True,False,True
Σαντορινιός Νεκτάριος,True,True,True,True,True,True
Γκαρά Νατάσα,True,False,False,False,True,False
Αποστόλου Ευάγγελος,True,True,False,True,False,False
Καλαματιανός Διονύσιος-Χαράλαμπος,False,False,False,False,False,False
Καρασαρλίδου Φρόσω,False,False,True,True,True,False
Ηγουμενίδης Νικόλαος,False,True,False,True,True,True
Βαρδάκης Σωκράτης,True,True,True,True,False,False
Μαμουλάκης Χάρης,True,True,True,True,True,True
Κάτσης Μάριος,True,True,True,True,False,True
Γιαννούλης Χρήστος,True,True,True,True,False,True
Αμανατίδης Ιωάννης,True,True,False,True,True,True
Νοτοπούλου Κατερίνα,True,True,True,True,False,True
Τριανταφυλλίδης Αλέκος,True,True,False,True,False,False
Φάμελλος Σωκράτης,True,True,False,False,True,True
Αυγέρη Δώρα,True,True,False,False,True,True
Τζούφη Μερόπη,True,True,True,True,True,True
Ελευθεριάδου Σουλτάνα,True,True,False,True,False,False
Λάππας Σπυρίδωνας,False,False,False,True,False,False
Τελιγιορίδου Ολυμπία,True,True,True,True,True,False
Αυλωνίτης Χρήστος,False,True,False,True,False,False
Αγαθοπούλου Ειρήνη-Ελένη,True,True,False,True,False,False
Ψυχογιός Γεώργιος,True,False,False,False,True,False
Συρμαλένιος Νικόλαος,False,True,False,True,True,False
Βαγενά Άννα,True,True,True,True,False,False
Κόκκαλης Βασίλειος,True,True,False,True,False,False
Μπουρνούς Ιωάννης,True,True,False,True,True,False
Μεϊκόπουλος Αλέξανδρος,False,False,True,True,True,False
Χαρίτσης Αλέξης,True,True,True,True,False,True
Ζεϊμπέκ Χουσεϊν,False,True,True,True,True,True
Τζάκρη Θεοδώρα,True,True,True,True,True,True
Σκούφα Μπέττυ,False,False,True,True,True,False
Μπάρκας Κωνσταντίνος,True,True,False,True,False,True
Ξανθός Ανδρέας,True,True,True,True,False,True
Παπαδόπουλος Σάκης,False,False,True,False,False,False
Σαρακιώτης Ιωάννης,True,True,True,True,True,True
Πέρκα Πέτη,False,False,False,False,False,True
Μάλαμα Κυριακή,True,True,False,False,False,True
Πολάκης Παύλος,True,True,True,True,False,True
