Hotel City,Hotelname,Twitter Handle,Website,Facebook Handle,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10
Analipsi,Lyttos Beach Hotel,,https://www.lyttosbeach.gr/,https://www.facebook.com/lyttosbeach/,https://www.facebook.com/lyttosbeach/,https://www.facebook.com/pages/category/Interest/LIFE-animation-Lyttos-Beach-296482207173105/,https://www.facebook.com/LIFE-animation-Lyttos-Beach-296482207173105/,https://www.facebook.com/lyttosbeach/?rf=246531252029724,,,,,,
Analipsi,INSULA ALBA Resort & Spa,,http://www.insulaalba.com/,https://www.facebook.com/insulaalbaresortspa/,https://www.facebook.com/insulaalbaresortspa/,https://www.facebook.com/goldenhotelsresorts/,https://www.facebook.com/pages/category/Community/Anne-Semonin-Greece-279571308880875/,,,,,,,
Analipsi,Stella Island Resort & Spa,,https://stellaisland.gr/,https://www.facebook.com/stella.island.hotel.suites.spa/,https://www.facebook.com/stella.island.hotel.suites.spa/,,,,,,,,,
Anissaras,Hotel Anissa Beach & Village,AnissaBeachGR,https://anissabeach.com/,https://www.facebook.com/Anissa-Beach-Village-Hotel-1632483863680241/,https://www.facebook.com/pages/category/Beach-Resort/Anissa-Beach-Village-Hotel-1632483863680241/,https://www.facebook.com/Anissabeachanimationteam/,,,,,,,,
Anissaras,Annabelle Beach Resort,,http://www.annabellebeachresort.gr/,https://www.facebook.com/annabellebeachresort/,https://www.facebook.com/annabellebeachresort/,https://www.facebook.com/Annabelle.Hotel/,,,,,,,,
Rhodos,Porto Angeli Beach Resort Hotel,portoangeli,https://www.portoangeli.com/,https://www.facebook.com/portoangeli,https://www.facebook.com/portoangeli/,,,,,,,,,
Bali,Hotel Bali Blue Bay,,https://www.balibluebay.com/,,https://www.facebook.com/BaliBlueBay/,https://www.facebook.com/XidasGardenHotel/,https://www.facebook.com/pages/category/Hotel/ORMOS-Atalia-475092062589968/,https://www.facebook.com/BluePointVillas/,https://www.facebook.com/balibeachgr/,https://www.facebook.com/Sentido-Port-Royal-Villas-Spa-136303729787877/,,,,
Faliraki,Hotel Calypso Palace,,https://www.calypsopalace.gr/,,https://www.facebook.com/calypsopalacehotel/,https://www.facebook.com/pages/category/Hotel/Calypso-Palace-Hotel-100718074851507/,https://www.facebook.com/calypsohotelns/,https://www.facebook.com/HotelCalypsoGozo/?ref=py_c&__xts__%5B0%5D=68.ARDZsAEf-QrFZt1SIJQgJK4p6BBb8IU4UmPaemB7yVprFRZFi0FkVaHvaQJrGZXSSbyApgEx4KnZoXiLqc17h0_jOZOpFj3vVsMK94N6HuwXKWj-IalR45g05CN-Q7b8_6mrfujFNw594sIf3bsGnY2kX852CB6QkQcjAu-zyE-DxwR4dIHJHtlKfdpq6W_tswbMBQG2Lyc6Y8dgDZlMD2tVPVVUutHyKiR9empOS-1uvA0qIoV54g6Eynkq6z5FyWaV3yEPgwB_gTQI_ol-gpJ6NfJFqglerL2-SwHVbR8jx6EIoEKGTjNK2nbH1TSK7MH986cLghappixGHA,https://www.facebook.com/GoldenBeachHotelRethymno/,,,,,
Faliraki,Blue Sea Beach Resort,,https://blueseahotel.gr/,https://www.facebook.com/BlueSeaHotel.gr,https://www.facebook.com/BlueSeaHotel.gr/,https://www.facebook.com/JovencioResort/,https://www.facebook.com/BlueSeaThassos/,https://www.facebook.com/ZeushotelsSeaBeach/,https://www.facebook.com/BlueSeaBeachHotel/,https://www.facebook.com/bsrwaterpark/,,,,
Faliraki,Elysium Resort & Spa Hotel,elysiumresort,https://www.elysium.gr/,https://www.facebook.com/elysiumresort,https://www.facebook.com/elysiumresort/,https://www.facebook.com/elysiumresortpanchgani/,https://www.facebook.com/elysiumhotel/,https://www.facebook.com/elysiumresortalibaug/,,,,,,
Faliraki,Hotel Mitsis Faliraki Beach,mitsishotels,https://www.mitsishotels.com/en/hotels/faliraki-beach,https://www.facebook.com/mitsishotels/,https://www.facebook.com/Mitsisfalirakibeach/,https://www.facebook.com/mitsisfaliraki/,,,,,,,,
Faliraki,Hotel Castello Di Cavalieri Suites,,http://www.castello-suites.com/home/gr,,https://www.facebook.com/hotelaicavalierivenice/,https://www.facebook.com/Faros-Rooms-Tilos-242022235861989/,https://www.facebook.com/pages/category/Hotel---Lodging/Castello-Pandone-285623191930539/,https://www.facebook.com/hotelindigocorsomonforte/,https://www.facebook.com/pages/category/Hotel-Resort/Veronica-Hotel-105079244180016/,,,,,
Georgioupolis,Georgioupolis Resort Aquapark & SPA,,https://georgioupolis-resort.com/,https://www.facebook.com/Georgioupolis/,https://www.facebook.com/Georgioupolis/,https://www.facebook.com/harpinhotels/,,,,,,,,
Georgioupolis,Hotel Corissia Beach,corissia,https://corissia.com/en/,https://www.facebook.com/corissiahotels/?rf=215047598536943,https://www.facebook.com/corissiahotels/,https://www.facebook.com/asteriostorisartist/,https://www.facebook.com/maremontebeach/,,,,,,,
Georgioupolis,Anemos Luxury Grand Resort,AnemosResort,https://www.anemosresort.com/en-gb,https://www.facebook.com/AnemosResort,https://www.facebook.com/AnemosResort/,,,,,,,,,
Georgioupolis,Hotel Pilot Beach,PilotBeach,https://www.pilot-beach.gr/,https://www.facebook.com/PilotBeachResort/,https://www.facebook.com/PilotBeachResort/,https://www.facebook.com/pilotamphora/,https://www.facebook.com/pilotamphora/?ref=py_c,,,,,,,
Gerakini,Hotel Sonia Village,,https://www.hotel-sonia.gr/new2018/index.php/el/,https://www.facebook.com/Sonia-Village-Resort-68617068503/,https://www.facebook.com/villasoniaubudbali/,https://www.facebook.com/soniahotelgh/,https://www.facebook.com/Chez-Sonia-Boutique-815749681849072/,https://www.facebook.com/amoopinymfes/,,,,,,
Gouves,Hotel Gouves Park Holiday Resort & Waterpark,,https://www.gouvespark.gr/,https://www.facebook.com/GouvesWaterPark/,https://www.facebook.com/GouvesWaterPark/,https://www.facebook.com/fodelebeachhotel/,https://www.facebook.com/ZeushotelsTheVillage/,,,,,,,
Hersonissos,Hotel King Minos Palace,,http://www.kingminospalace.com/,,https://www.facebook.com/AldemarKnossosRoyal/,,,,,,,,,
Hersonissos,Hersonissos Village Hotel & Bungalows,,https://www.hersotels.gr/,https://www.facebook.com/Hersotels/,https://www.facebook.com/HersonissosVillage/,https://www.facebook.com/HighBeach/,https://www.facebook.com/Stella-Village-175232592508537/,https://www.facebook.com/AldemarCretanVillage/,https://www.facebook.com/kibelatourbg/,https://www.facebook.com/lyttosbeach/?rf=246531252029724,https://www.facebook.com/kolibritravel.lv,https://www.facebook.com/travelsavvymom/,https://www.facebook.com/EleniVillage/,
Hersonissos,Hotel Nana Beach,,https://www.nanagoldenbeach.gr/,https://www.facebook.com/NanaGoldenBeach/,https://www.facebook.com/NanaGoldenBeach/,https://www.facebook.com/pages/category/Vacation-Home-Rental/Nanas-Beach-Place-105247925039653/,https://www.facebook.com/pages/category/Beach-Resort/Nanas-Lodge-341941610728/,https://www.facebook.com/pages/category/Beach-Resort/Boss-suites-nana-HOTEL-1756308557915029/,,,,,,
Hersonissos,Hotel Albatros,,https://www.albatros-hotel.gr/en/,https://www.facebook.com/albatros.sivota,https://www.facebook.com/Hotel-Albatross-Ballard-864662786888544/,https://www.facebook.com/hotelalbatrosvarigotti/,https://www.facebook.com/AlbatrosZermatt/,https://www.facebook.com/HotelRealAlbatros/,https://www.facebook.com/AlbatrosPremierHotel/,https://www.facebook.com/AlbatrosHotelMaleme1/,,,,
Ialysos,Hotel Blue Horizon,,https://www.bluehorizonhotel.gr/,,https://www.facebook.com/BlueHorizonHotelGuernsey/,https://www.facebook.com/BlueHorizonResort/,https://www.facebook.com/BlueHorizonVan/,https://www.facebook.com/bluehorizonbali/,https://www.facebook.com/bluehorizonmotel/,https://www.facebook.com/bluehorizonhostel/,https://www.facebook.com/hotelbluehorizon/,https://www.facebook.com/firabluehorizon/,https://www.facebook.com/pages/category/Hotel/Blue-Horizon-Hotel-Bridgetown-355808198827296/,https://www.facebook.com/bluehorizoncourtoscoda/
Ialysos,Hotel Sirene Beach,,,,https://www.facebook.com/pages/category/Beach-Resort/Sirene-Beach-Hotel-2057411260955572/,https://www.facebook.com/PoolBarSireneHotel/,https://www.facebook.com/GoldenViewBeachHotel/,https://www.facebook.com/Hotel.La.Sirene.Nuweiba/,,,,,,
Ipsos,Marilena Sea View Hotel,,https://marilenahotel.com/,,https://www.facebook.com/pages/category/Hotel/Marilena-Sea-View-Hotel-114783719944509/,https://www.facebook.com/pages/category/Hotel-Resort/Hotel-Marilena-2073019922941634/,https://www.facebook.com/HotelMarilenaMolivos/,https://www.facebook.com/corfu.apartments.studios/,https://www.facebook.com/marilenaapartments/,https://www.facebook.com/marilenahotel/,https://www.facebook.com/Marilena-Amato-308733726324088/,,,
Ixia,Dionysos Hotel,,https://www.dionysos-hotel.gr/,,https://www.facebook.com/pages/category/Hotel-Resort/Dionysos-Hotel-Rodos-294312057799424/,https://www.facebook.com/Dionysos.Hotel.Studios/,https://www.facebook.com/Dionysoshotelathens/,https://www.facebook.com/HotelDionysos.Goldenbeach.Thassos/,https://www.facebook.com/stayinagistri.gr/,,,,,
Kallithea,Hotel Kalithea Horizon Royal,,https://www.kalitheahorizon.gr/,https://www.facebook.com/Kalitheahorizon/,https://www.facebook.com/Kalitheahorizon/,https://www.facebook.com/ChrissiAmoudiaHotel/,https://www.facebook.com/vakantie.rhodos/,https://www.facebook.com/rhodoshorizonresort/,https://www.facebook.com/pages/category/Interest/LIFE-animation-Lyttos-Beach-296482207173105/,https://www.facebook.com/hotelkalithea/,https://www.facebook.com/justTenor/,,,
Kallithea,Hotel La Marquise Luxury Resort Complex,,https://www.lamarquise.gr/el/,https://www.facebook.com/LaMarquiseResortRhodes,https://www.facebook.com/LaMarquiseResortRhodes/,https://www.facebook.com/www.LuxHotels.eu/,,,,,,,,
Kallithea,Hotel Kalithea Mare Palace,,https://www.kalitheamare.gr/,https://www.facebook.com/KalitheaMare/,https://www.facebook.com/KalitheaMare/,https://www.facebook.com/Kalitheahorizon/,https://www.facebook.com/vakantie.rhodos/,,,,,,,
Kallithea,Hotel Esperides Beach/Family Resort,,https://www.esperiagroup.gr/en/,https://www.facebook.com/esperiagroup/,https://www.facebook.com/esperidesbeachfamilyresort/,https://www.facebook.com/esperiagroup/,https://www.facebook.com/EsperidesBeach/,,,,,,,
Kamari,Hotel Glaros,,https://www.glaros-santorini.com/,https://www.facebook.com/GlarosHotelRestaurantSantorini/,https://www.facebook.com/hoteldiafanikarpathos/,https://www.facebook.com/pages/category/Hotel-Resort/Glaros-Hotel-478375595693937/,https://www.facebook.com/GlarosBeachHotel/,https://www.facebook.com/pages/category/Beach-Resort/Glaros-Premium-Boutique-Hotel-100624600121301/,https://www.facebook.com/pages/category/Hotel/Hotel-Glaros-Diafani-112091752536774/,https://www.facebook.com/pages/category/Hotel/Glaros-Hotel-1390578491204956/,https://www.facebook.com/restaurantseagull/,,,
Kardamena,Mitsis Norida Beach Hotel,mitsishotels,https://www.mitsishotels.com/,https://www.facebook.com/mitsishotels/,https://www.facebook.com/mitsisnoridahotel/,https://www.facebook.com/mitsisfamilyvillage/,,,,,,,,
Kardamena,Mitsis Family Village Beach Hotel,mitsishotels,https://www.mitsishotels.com/,https://www.facebook.com/mitsishotels/,https://www.facebook.com/mitsisfamilyvillage/,https://www.facebook.com/mitsisrodosvillagehotel/,,,,,,,,
Kardamena,Mitsis Blue Domes Exclusive Resort & Spa,mitsishotels,https://www.mitsishotels.com/en/hotels/blue-domes,https://www.facebook.com/mitsishotels/,https://www.facebook.com/mitsisbluedomesresort/,https://www.facebook.com/mitsisbluedomeswatersports/,,,,,,,,
Kardamena,Grand Blue Beach Hotel,,https://www.grandbluehotel.gr/,https://www.facebook.com/GrandBlueBeachHotel,https://www.facebook.com/GrandBlueBeachHotel/,https://www.facebook.com/pages/category/Beach-Resort/Grand-blue-beach-magawish-118787203328384/,https://www.facebook.com/grandblueph/,https://www.facebook.com/pages/category/Beach-Resort/Grande-Blue-Seaside-Restaurant-670608416329740/,,,,,,
Kardamena,Hotel Akti Beach Club,AktiClub,https://aktibeachclub.gr/,https://www.facebook.com/AktiBeachClub,https://www.facebook.com/AktiBeachClub/,https://www.facebook.com/pages/category/Community/Akti-Beach-Club-Fan-134138420464617/,,,,,,,,
Kiotari,Hotel Rodos/Rhodos Princess Beach,,https://www.rodosprincess.com/,https://www.facebook.com/RodosPrincessBeachHotel,https://www.facebook.com/RodosPrincessBeachHotel/,https://www.facebook.com/LindosPrincess/,https://www.facebook.com/rodosprincessateam/,https://www.facebook.com/Princess-Adrianna-Rhodos--383761345010516/,https://www.facebook.com/Princess-Sun-Hotel-182700811741146/,https://www.facebook.com/Lindos-Princess-A-Team-1523102034578461/,https://www.facebook.com/pages/category/Travel-Company/Lindos-Princess-A-Team-1523102034578461/,https://www.facebook.com/pages/category/Hotel-Resort/Princess-Flora-482011135195751/,https://www.facebook.com/boutique5hotel/,
Kiotari,Princess Andriana Resort & Spa,,https://www.princessandriana.com/,https://www.facebook.com/PrincessAndrianaResortSpa,https://www.facebook.com/PrincessAndrianaResortSpa/,https://www.facebook.com/pages/category/Hotel-Resort/Hotel-Princess-Andriana-Resort-Spa-733601583339591/,https://www.facebook.com/PrincessAndrianaAnimationTeam/,https://www.facebook.com/Princess-Adrianna-Rhodos--383761345010516/,,,,,,
Kiotari,Hotel Mitsis Rhodos Village & Bungalow,mitsishotels,https://www.mitsishotels.com/,https://www.facebook.com/mitsishotels/,https://www.facebook.com/edenroc/,https://www.facebook.com/MitsisRodosMaris/,https://www.facebook.com/mitsisbluedomesresort/,https://www.facebook.com/caraviahotel/,https://www.facebook.com/malibuboutiquestudios/,https://www.facebook.com/nefelivillas/,,,,
Kiotari,Ekaterini Hotel,,https://ekaterini-hotel.com/,https://www.facebook.com/groups/ekaterinihotel/,https://www.facebook.com/ekaterinihotel.kiotari.rhodes/,https://www.facebook.com/pages/category/Hotel-Resort/Villa-Ekaterini-130116300661294/,https://www.facebook.com/ekateriniestate/,https://www.facebook.com/pages/category/Vacation-Home-Rental/Ekaterini-Vip-Villa-711696055580640/,https://www.facebook.com/pages/category/Service-Apartments/Ekaterini-Apartments-Corfu-Greece-155332667850629/,https://www.facebook.com/conciergevienna/,https://www.facebook.com/Limnionas-Bay-Village-134258326774423/,,,
Kokkini Hani,Mitsis Rinela Beach Resort & Spa,mitsishotels,https://www.mitsishotels.com/,https://www.facebook.com/mitsishotels/,https://www.facebook.com/Mitsisrinelabeach/,,,,,,,,,
Kolymbia,Delfinia Resort,,https://delfiniaresort.com/el/,https://www.facebook.com/DelfiniaResortHotel/,https://www.facebook.com/DelfiniaResortHotel/,https://www.facebook.com/pages/category/Hotel/Villa-Mare-by-Delfinia-Resort-Hotel-729413277180674/,https://www.facebook.com/pages/category/Hotel-Resort/Delfinia-Hotel-Bungalows-107441755940813/,https://www.facebook.com/pages/category/Beach-Resort/Lindos-Breeze-Beach-Hotel-1024065964464366/,https://www.facebook.com/delfiniahotels/,https://www.facebook.com/AlfaBeachHotel/,,,,
Kolymbia,Irene Palace Beach Resort,irenepalace,https://www.irenepalace.gr/,https://www.facebook.com/irenepalace.gr/,https://www.facebook.com/irenepalace.gr/,,,,,,,,,
Kolymbia,Niriides Hotel,,https://www.niriidesbeach-hotel.com/,https://www.facebook.com/pages/Niriides-Hotel-Rhodes/387787871289547,https://www.facebook.com/NiriidesAndros/,https://www.facebook.com/pages/category/Lodge/NIRIIDES-HOTEL-APARTMENTS-STUDIOS-329028021128/,https://www.facebook.com/smaragdiparisidi/,https://www.facebook.com/pages/category/Hotel-Resort/Niriides-Beach-Hotel-Kolymbia-1030130080451852/,https://www.facebook.com/pages/category/Beach-Resort/Niriides-hotel-apartments-124533920922769/,https://www.facebook.com/pages/category/Hotel/Niriides-Rooms-Tinos-376078599554198/,,,,
Kolymbia,Hotel Relax,,https://www.relaxhotel.gr/,https://www.facebook.com/relaxhotelrho/,https://www.facebook.com/hotelrelaxsovata/,https://www.facebook.com/pages/category/Hotel/Motel-Relax-159489340751382/,https://www.facebook.com/Le-Pinede-Hotel-Relax-339682862808192/,https://www.facebook.com/pages/category/Hotel/Hotel-Relax-chilpancingo-112938516716972/,https://www.facebook.com/Hotel-Relax-Dhermi-232292230227278/,https://www.facebook.com/pages/category/Hotel-Resort/Restaurace-a-Hotel-Relax-U-Drs%C5%AF-2056756491270979/,https://www.facebook.com/relaxmurau/,https://www.facebook.com/pages/category/Hotel/Hotel-Relax-Kor%C3%A7%C3%AB-328590468053571/,https://www.facebook.com/pages/category/Hotel/Motel-Relax-1220151874832847/,
Kyllini,ROBINSON Club Kyllini Beach,ROBINSON,https://www.robinson.com/en/en/home/,https://www.facebook.com/RobinsonClubResorts/?brand_redir=138382879511564,https://www.facebook.com/robinson.kyllinibeach/,https://www.facebook.com/DJBENZON/,,,,,,,,
Lardos,Lindos Princess Beach Hotel,,https://www.lindosprincess.com/,https://www.facebook.com/LindosPrincess/,https://www.facebook.com/LindosPrincess/,https://www.facebook.com/pages/category/Travel-Company/Lindos-Princess-A-Team-1523102034578461/,https://www.facebook.com/Lindos-Princess-A-Team-1523102034578461/,,,,,,,
Ligaria,CHC Athina Palace Resort & Spa,,https://www.athinapalace.com.gr/,,https://www.facebook.com/clubcoraliacrete/,,,,,,,,,
Lindos,Lindos White Hotel & Suites,,https://lindoswhite.gr/,https://www.facebook.com/LindosWhiteHotelandSuites,https://www.facebook.com/LindosWhiteHotelandSuites/,https://www.facebook.com/lindoswhitehotel/,https://www.facebook.com/lindosbluhotel/,https://www.facebook.com/aphroditelindos/,https://www.facebook.com/lindosmarehotel/,,,,,
Malia,Hotel Malia Bay,,http://www.maliabay.gr/,https://www.facebook.com/MaliaBayBeachHotel,https://www.facebook.com/MaliaBayBeachHotel/,https://www.facebook.com/GoldenBay/,https://www.facebook.com/HighBeach/,https://www.facebook.com/SunVillage-Hotel-151220041588042/,https://www.facebook.com/plakiasbay/,https://www.facebook.com/cretablueluxurycollection/,https://www.facebook.com/ammosbeachhotel/,,,
Malia,Ikaros Beach Luxury Resort & Spa,,https://www.ikarosvillage.gr/,https://www.facebook.com/IkarosBeachResortSpa,https://www.facebook.com/IkarosBeachResortSpa/,https://www.facebook.com/KosherLuxuryTravel/,,,,,,,,
Malia,Hotel Meropi,,https://www.meropihotel.gr/,https://www.facebook.com/MeropiHotelApartments/,https://www.facebook.com/meropsphot/,https://www.facebook.com/MeropiStudiosKallithea/,https://www.facebook.com/MEROPIAQUA/,https://www.facebook.com/meropirooms/,https://www.facebook.com/meropi.kardamili/,https://www.facebook.com/Antario.Lv/?comment_id=Y29tbWVudDoxNzgzMzc3Mjk4NTI1MTQ0XzE3ODM0Njk3MDUxODI1NzA%3D,,,,
Marmari,Hotel Palladium,,https://www.hotelpalladiumkos.gr/?page=home&lg_id=3,https://www.facebook.com/palladiumkos/,https://www.facebook.com/PalladiumHotelGroup/,https://www.facebook.com/rodospalladium/,https://www.facebook.com/palladiumhotelmenorca/,https://www.facebook.com/GrandPalladiumRivieraMaya/,https://www.facebook.com/ThePalladiumHotel/,https://www.facebook.com/PalladiumHotelGroup/?rf=986212851389314,https://www.facebook.com/GrandPalladiumIbiza/,https://www.facebook.com/palladium.hotel/,,
Marmari,Caravia Beach Hotel & Bungalows,Caravia_Beach,https://caraviabeach.gr/en/,https://www.facebook.com/caraviahotel,https://www.facebook.com/caraviahotel/,,,,,,,,,
Marmari,Hotel Sandy Beach,SandyHotelKos,https://hotelsandy.com/,,https://www.facebook.com/SandyBeachMB/,https://www.facebook.com/labrandasandybeach/,https://www.facebook.com/pages/category/Hotel-Resort/Sandy-Beach-Resort-SBR-114605240326069/,https://www.facebook.com/resortsandybeach/,https://www.facebook.com/sandybeachsuites/,https://www.facebook.com/TheSandyBeachDarJerba/,https://www.facebook.com/SeasideSB/,https://www.facebook.com/SandyBeachResortMN/,https://www.facebook.com/sandybeachhoteluae/,
Marmari,Hotel Sandy Beach,SandyHotelKos,https://hotelsandy.com/,,https://www.facebook.com/SandyBeachMB/,https://www.facebook.com/labrandasandybeach/,https://www.facebook.com/pages/category/Hotel-Resort/Sandy-Beach-Resort-SBR-114605240326069/,https://www.facebook.com/resortsandybeach/,https://www.facebook.com/sandybeachsuites/,https://www.facebook.com/TheSandyBeachDarJerba/,https://www.facebook.com/SeasideSB/,https://www.facebook.com/SandyBeachResortMN/,https://www.facebook.com/sandybeachhoteluae/,
Paleochora,Hotel Sandy Beach,,https://sandy-beach.gr/,,https://www.facebook.com/SandyBeachMB/,https://www.facebook.com/labrandasandybeach/,https://www.facebook.com/pages/category/Hotel-Resort/Sandy-Beach-Resort-SBR-114605240326069/,https://www.facebook.com/resortsandybeach/,https://www.facebook.com/sandybeachsuites/,https://www.facebook.com/TheSandyBeachDarJerba/,https://www.facebook.com/SeasideSB/,https://www.facebook.com/SandyBeachResortMN/,https://www.facebook.com/sandybeachhoteluae/,
Paleochora,Hotel Sandy Beach,,https://sandy-beach.gr/,,https://www.facebook.com/SandyBeachMB/,https://www.facebook.com/labrandasandybeach/,https://www.facebook.com/pages/category/Hotel-Resort/Sandy-Beach-Resort-SBR-114605240326069/,https://www.facebook.com/resortsandybeach/,https://www.facebook.com/sandybeachsuites/,https://www.facebook.com/TheSandyBeachDarJerba/,https://www.facebook.com/SeasideSB/,https://www.facebook.com/SandyBeachResortMN/,https://www.facebook.com/sandybeachhoteluae/,
Mastichari,Hotel Princess of Kos,SmyHotels,https://www.smyprincessofkos.com/,https://www.facebook.com/SmyPrincessofKos,https://www.facebook.com/SmyPrincessofKos/,https://www.facebook.com/pages/category/Beach-Resort/Princess-Of-Kos-153917664679819/,https://www.facebook.com/PrincessHotelsResorts/,https://www.facebook.com/SmyLisboa/?fref=tag,,,,,,
Mastichari,TUI MAGIC LIFE Marmari Palace by Atlantica,,https://www.magiclife.com/en/en/resort-holiday/greece/marmari-palace/resort-details/,https://www.facebook.com/tuimagiclife,https://www.facebook.com/TUIMAGICLIFEMarmariPalace/,https://www.facebook.com/travelstylers/,,,,,,,,
Mastichari,Hotel Horizon Beach Resort,HorizonKos,https://horizonbeachresort.gr/,https://www.facebook.com/HorizonBeachResort,https://www.facebook.com/HorizonBeachResort/,https://www.facebook.com/horizonsbeach/,https://www.facebook.com/horizonbeach/,https://www.facebook.com/pages/category/Local-Business/Golden-Horizon-Beach-1450837111856624/,https://www.facebook.com/horizonbeachhotelstalis/,https://www.facebook.com/segawahorizon/,https://www.facebook.com/LHorizonHotel/,,,
Matala,Matala Valley Village,,https://www.valleyvillage.gr/,https://www.facebook.com/matala.valley.village/,https://www.facebook.com/matala.valley.village/,https://www.facebook.com/CrossinVibes/,https://www.facebook.com/HorsefarmMelanouri/,https://www.facebook.com/pages/category/Vacation-Home-Rental/Apartments-Xenophon-Matala-819926451370212/,,,,,,
Mparmpati,Hotel Nautilus Barbati,,https://www.corfuholiday.gr/,,https://www.facebook.com/Hotelnautilusbarbati/,https://www.facebook.com/NautilusBeachBar/,https://www.facebook.com/sundealz.nl/,https://www.facebook.com/nautilusdailycruisescorfu/,https://www.facebook.com/TuiathomeJosevanFelius/,https://www.facebook.com/pages/category/Hotel/Kalamaki-Beach-Hotel-Resort-150289325051419/,,,,
Nafplio,Hotel Victoria,,https://hotelvictoria.gr/en/,,https://www.facebook.com/hvroma/,https://www.facebook.com/grandhotelvictoriamenaggio/,https://www.facebook.com/pages/category/Hotel/HOTEL-Victoria-INN-1106786259410363/,https://www.facebook.com/thehotelvictoria/,https://www.facebook.com/HotelVictoriaNewquay/,https://www.facebook.com/hotelvictoriaprague/,https://www.facebook.com/victoriahotelhaiti/,https://www.facebook.com/hotelvictoriajalos/,https://www.facebook.com/pages/category/Pub/Bridgewater-Hotel-On-The-Loddon-River-316319319097677/,https://www.facebook.com/NelsonPub3292/
Nea Potidea,Hotel Istion Club & Spa,,https://istionclub.gr/,,https://www.facebook.com/AquaBluBoutiqueHotelSpa/,https://www.facebook.com/Silver-Oak-Golf-Course-116058812597/,https://www.facebook.com/belazurhotel/,,,,,,,
