Hotel City,Hotelname_x,Twitter Handle,Website,Facebook Handle,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10
Kardamena,Mitsis Family Village Beach Hotel,mitsishotels,https://www.mitsishotels.com/,https://www.facebook.com/mitsishotels/,https://www.facebook.com/mitsisfamilyvillage/,https://www.facebook.com/mitsisnoridahotel/,https://www.facebook.com/AegeanVillageHotelKosIslandGreece/,,,,,,,
Kardamena,Mitsis Blue Domes Exclusive Resort & Spa,mitsishotels,https://www.mitsishotels.com/en/hotels/blue-domes,https://www.facebook.com/mitsishotels/,https://www.facebook.com/mitsisbluedomesresort/,https://www.facebook.com/mitsisbluedomeswatersports/,https://www.facebook.com/mitsisfamilyvillage/,https://www.facebook.com/mitsisnoridahotel/,https://www.facebook.com/pages/category/Sports---Recreation-Venue/Kardamena-Watersports-Center-177779952396543/,https://www.facebook.com/theclubzonekos/,,,,
Kardamena,Grand Blue Beach Hotel,,https://www.grandbluehotel.gr/,https://www.facebook.com/GrandBlueBeachHotel,https://www.facebook.com/GrandBlueBeachHotel/,https://www.facebook.com/KalimeraElladaTravel/,https://www.facebook.com/gltravellounge/,https://www.facebook.com/koulliasgroup/,,,,,,
Kardamena,Hotel Akti Beach Club,AktiClub,https://aktibeachclub.gr/,https://www.facebook.com/AktiBeachClub,https://www.facebook.com/AktiBeachClub/,https://www.facebook.com/pages/category/Community/Akti-Beach-Club-Fan-134138420464617/,https://www.facebook.com/elitoursplzen/,https://www.facebook.com/pages/category/Sports---Recreation-Venue/Kardamena-Watersports-Center-177779952396543/,,,,,,
Kiotari,Hotel Rodos/Rhodos Princess Beach,,https://www.rodosprincess.com/,https://www.facebook.com/RodosPrincessBeachHotel,https://www.facebook.com/RodosPrincessBeachHotel/,https://www.facebook.com/rodosprincessateam/,https://www.facebook.com/Princess-Adrianna-Rhodos--383761345010516/,https://www.facebook.com/PrincessAndrianaResortSpa/,https://www.facebook.com/Princess-Sun-Hotel-182700811741146/,https://www.facebook.com/Lindos-Princess-A-Team-1523102034578461/,https://www.facebook.com/boutique5hotel/,https://www.facebook.com/WatersportsKiotari/,,
Kiotari,Princess Andriana Resort & Spa,,https://www.princessandriana.com/,https://www.facebook.com/PrincessAndrianaResortSpa,https://www.facebook.com/PrincessAndrianaResortSpa/,https://www.facebook.com/Princess-Adrianna-Rhodos--383761345010516/,https://www.facebook.com/PrincessAndrianaAnimationTeam/,https://www.facebook.com/boutique5hotel/,,,,,,
Kiotari,Hotel Mitsis Rhodos Village & Bungalow,mitsishotels,https://www.mitsishotels.com/,https://www.facebook.com/mitsishotels/,https://www.facebook.com/mitsisrodosvillagehotel/,https://www.facebook.com/edenroc/,https://www.facebook.com/MitsisRodosMaris/,https://www.facebook.com/mitsispetitpalais/,https://www.facebook.com/mitsislindosmemories/,https://www.facebook.com/malibuboutiquestudios/,https://www.facebook.com/TheIxianGrand.IxianAllSuites/,https://www.facebook.com/lydiamarishotel/,,
Kiotari,Ekaterini Hotel,,https://ekaterini-hotel.com/,https://www.facebook.com/groups/ekaterinihotel/,https://www.facebook.com/ekaterinihotel.kiotari.rhodes/,https://www.facebook.com/conciergevienna/,https://www.facebook.com/Limnionas-Bay-Village-134258326774423/,https://www.facebook.com/biuropodrozykatowice/,https://www.facebook.com/traveliadakozieglowy/,,,,,
Kokkini Hani,Mitsis Rinela Beach Resort & Spa,mitsishotels,https://www.mitsishotels.com/,https://www.facebook.com/mitsishotels/,https://www.facebook.com/Mitsisrinelabeach/,https://www.facebook.com/RealBlueseaHolidays/,https://www.facebook.com/themisbeachhotel/,,,,,,,
Kolymbia,Delfinia Resort,,https://delfiniaresort.com/el/,https://www.facebook.com/DelfiniaResortHotel/,https://www.facebook.com/DelfiniaResortHotel/,https://www.facebook.com/pages/category/Hotel/Villa-Mare-by-Delfinia-Resort-Hotel-729413277180674/,https://www.facebook.com/AlfaBeachHotel/,https://www.facebook.com/Atlantica-Mikri-Poli-Crete-480387682385634/,https://www.facebook.com/pages/category/Community/Akti-Beach-Club-Fan-134138420464617/,https://www.facebook.com/tmtravel.eu/,,,,
Kolymbia,Irene Palace Beach Resort,irenepalace,https://www.irenepalace.gr/,https://www.facebook.com/irenepalace.gr/,https://www.facebook.com/irenepalace.gr/,https://www.facebook.com/AlfaBeachHotel/,https://www.facebook.com/CK.FIFO/,https://www.facebook.com/alohatour.sk/,https://www.facebook.com/tobytours.sk/,https://www.facebook.com/SLUZBYtrencianskaTEPLA/,https://www.facebook.com/fridmis/,,,
Kolymbia,Niriides Hotel,,https://www.niriidesbeach-hotel.com/,https://www.facebook.com/pages/Niriides-Hotel-Rhodes/387787871289547,https://www.facebook.com/pages/category/Hotel-Resort/Niriides-Beach-Hotel-Kolymbia-1030130080451852/,https://www.facebook.com/Georgia-Apartments-Afandou-Rhodes-716691695034407/,https://www.facebook.com/lotus.ivanka/,,,,,,,
Kolymbia,Hotel Relax,,https://www.relaxhotel.gr/,https://www.facebook.com/relaxhotelrho/,https://www.facebook.com/relaxhotelrho/,https://www.facebook.com/leonardokolymbiaresort/,https://www.facebook.com/kolymbiabayart/,https://www.facebook.com/ApartmentsElefteria/,https://www.facebook.com/AlfaBeachHotel/,,,,,
Kyllini,ROBINSON Club Kyllini Beach,ROBINSON,https://www.robinson.com/en/en/home/,https://www.facebook.com/RobinsonClubResorts/?brand_redir=138382879511564,https://www.facebook.com/robinson.kyllinibeach/,,,,,,,,,
Lardos,Lindos Princess Beach Hotel,,https://www.lindosprincess.com/,https://www.facebook.com/LindosPrincess/,https://www.facebook.com/pages/category/Travel-Company/Lindos-Princess-A-Team-1523102034578461/,https://www.facebook.com/LindosPrincess/,https://www.facebook.com/Lindos-Princess-A-Team-1523102034578461/,https://www.facebook.com/LindosPrincessEscaperooms/,,,,,,
Ligaria,CHC Athina Palace Resort & Spa,,https://www.athinapalace.com.gr/,,https://www.facebook.com/pages/category/Tour-Agency/Sky-travel-367690686663241/,https://www.facebook.com/Sky-travel-367690686663241/,,,,,,,,
Lindos,Lindos White Hotel & Suites,,https://lindoswhite.gr/,https://www.facebook.com/LindosWhiteHotelandSuites,https://www.facebook.com/LindosWhiteHotelandSuites/,https://www.facebook.com/lindoswhitehotel/,https://www.facebook.com/ElectraPalaceResortRhodes/,https://www.facebook.com/lindosbluhotel/,https://www.facebook.com/aphroditelindos/,https://www.facebook.com/TheaVillasLindos/,,,,
Malia,Hotel Malia Bay,,http://www.maliabay.gr/,https://www.facebook.com/MaliaBayBeachHotel,https://www.facebook.com/MaliaBayBeachHotel/,https://www.facebook.com/GoldenBay/,https://www.facebook.com/HighBeach/,https://www.facebook.com/SunVillage-Hotel-151220041588042/,https://www.facebook.com/yiannismanosmalia/,https://www.facebook.com/vergashotel/,https://www.facebook.com/pages/category/Hotel/Icandy-apts-malia-1683245991922391/,https://www.facebook.com/maliayachting/,https://www.facebook.com/24sevenhotel/,https://www.facebook.com/PYRGOSBEACHOTEL/
Malia,Ikaros Beach Luxury Resort & Spa,,https://www.ikarosvillage.gr/,https://www.facebook.com/IkarosBeachResortSpa,https://www.facebook.com/IkarosBeachResortSpa/,https://www.facebook.com/kalimerakritihotelandvillageresort/,https://www.facebook.com/directnmarental.gr/,https://www.facebook.com/KosherLuxuryTravel/,,,,,,
Malia,Hotel Meropi,,https://www.meropihotel.gr/,https://www.facebook.com/MeropiHotelApartments/,https://www.facebook.com/MEROPIAQUA/,https://www.facebook.com/drossiapalms/,https://www.facebook.com/horizonbeachhotelstalis/,https://www.facebook.com/Anaxos-Lesvos-Greece-508093949282051/,,,,,,
Marmari,Hotel Palladium,,https://www.hotelpalladiumkos.gr/?page=home&lg_id=3,https://www.facebook.com/palladiumkos/,https://www.facebook.com/palladiumkos/,https://www.facebook.com/BouradanisVillageHotel/,https://www.facebook.com/Boutiquehotelmarcopolo/,https://www.facebook.com/pages/category/Jewelry---Watches-Store/Palladium-Jewellery-1390528207827300/,https://www.facebook.com/greennaturediamond/,https://www.facebook.com/pages/category/Travel-Agency/Plush-Holidays-100588864840201/,,,,
Marmari,Caravia Beach Hotel & Bungalows,Caravia_Beach,https://caraviabeach.gr/en/,https://www.facebook.com/caraviahotel,https://www.facebook.com/caraviahotel/,https://www.facebook.com/watersportkos/,https://www.facebook.com/KalimeraElladaTravel/,https://www.facebook.com/pages/category/Beach-Resort/Princess-Of-Kos-153917664679819/,,,,,,
Marmari,Hotel Sandy Beach,SandyHotelKos,https://hotelsandy.com/,,https://www.facebook.com/pages/category/Hotel-Resort/Sandy-Beach-Family-Suites-Kos-670554533095915/,https://www.facebook.com/marmaribayhotel/,https://www.facebook.com/MarmariWindsurfing/,https://www.facebook.com/pages/category/Recreation---Sports-Website/Marmari-Kos-1913355275649869/,https://www.facebook.com/AtlantisHotelKos/,,,,,
Mastichari,Hotel Princess of Kos,SmyHotels,https://www.smyprincessofkos.com/,https://www.facebook.com/SmyPrincessofKos,https://www.facebook.com/SmyPrincessofKos/,https://www.facebook.com/pages/category/Beach-Resort/Princess-Of-Kos-153917664679819/,https://www.facebook.com/HorizonBeachResort/,https://www.facebook.com/NeptuneHotelsKos/,https://www.facebook.com/AtlantisHotelKos/,https://www.facebook.com/AchilleasBeachHotel/,,,,
Mastichari,TUI MAGIC LIFE Marmari Palace by Atlantica,,https://www.magiclife.com/en/en/resort-holiday/greece/marmari-palace/resort-details/,https://www.facebook.com/tuimagiclife,https://www.facebook.com/TUIMAGICLIFEMarmariPalace/,https://www.facebook.com/travelstylers/,,,,,,,,
Mastichari,Hotel Horizon Beach Resort,HorizonKos,https://horizonbeachresort.gr/,https://www.facebook.com/HorizonBeachResort,https://www.facebook.com/HorizonBeachResort/,https://www.facebook.com/horizonsurfingcenter/,https://www.facebook.com/pages/category/Travel-Agency/Travelplan-915479831797635/,https://www.facebook.com/olasport/,https://www.facebook.com/NeptuneHotelsKos/,,,,,
Matala,Matala Valley Village,,https://www.valleyvillage.gr/,https://www.facebook.com/matala.valley.village/,https://www.facebook.com/matala.valley.village/,https://www.facebook.com/CrossinVibes/,https://www.facebook.com/HorsefarmMelanouri/,https://www.facebook.com/pages/category/Vacation-Home-Rental/Apartments-Xenophon-Matala-819926451370212/,https://www.facebook.com/pages/category/Lodge/Matalatala-Wildlife-Lodge-904518146282899/,,,,,
Mparmpati,Hotel Nautilus Barbati,,https://www.corfuholiday.gr/,,https://www.facebook.com/locandacorfu/,https://www.facebook.com/pages/category/Hotel/Glyfa-Beach-Villas-613810542422053/,,,,,,,,
Nafplio,Hotel Victoria,,https://hotelvictoria.gr/en/,,https://www.facebook.com/hotelvictorianafplio/,https://www.facebook.com/greektaxigreece/,https://www.facebook.com/hotelcrocedimaltaflorence/,https://www.facebook.com/porterforhotels/,https://www.facebook.com/AMATravel/,https://www.facebook.com/kristinasuites/,,,,
Nea Potidea,Hotel Istion Club & Spa,,https://istionclub.gr/,,,,,,,,,,,
Nikiti,Hotel Xenios Zeus,,https://www.xenioshotel.gr/,https://www.facebook.com/Xenios-242633375833,https://www.facebook.com/pages/category/Hotel/Xenios-242633375833/,https://www.facebook.com/soniashouse.gr/,https://www.facebook.com/ivishousekavala/,https://www.facebook.com/travelplanetMD/,,,,,,
Paleochora,Hotel Sandy Beach,,https://sandy-beach.gr/,,https://www.facebook.com/IOSPALEOCHORA/,https://www.facebook.com/roulapaleochora/,https://www.facebook.com/Palaiochora/,https://www.facebook.com/paleochorabeachapartment/,https://www.facebook.com/SifisStudios/,,,,,
Paradeísion,Vallian Village Hotel,,https://www.vallianvillage.gr/,https://www.facebook.com/VallianVillageHotel/,,,,,,,,,,
Pefkochori,Hotel Atrium,AtriumHotels,https://www.atrium.gr/,https://www.facebook.com/AtriumPalace/,https://www.facebook.com/AtriumHotelChalkidiki/,https://www.facebook.com/planettravelmkd.planettravelmkd/,https://www.facebook.com/dimitrisestate/,https://www.facebook.com/planettravel.com.mk/,https://www.facebook.com/pages/category/Shopping---Retail/LsMaD-739132212846305/,,,,,
Pefkochori,Hotel Alia Palace,,https://www.alia-palace.com/,https://www.facebook.com/AliaPalaceLuxuryHotelVillas,https://www.facebook.com/AliaPalaceLuxuryHotelVillas/,https://www.facebook.com/hesperidespefkochori/,https://www.facebook.com/planettravelmkd.planettravelmkd/,https://www.facebook.com/DerpartDinslaken/,,,,,,
Plakias,Hotel Alianthos Garden,alianthosgarden,https://www.hotelalianthos.com/,https://www.facebook.com/AlianthosGardenHotel/,https://www.facebook.com/pages/category/Hotel/Alianthos-Garden-Hotel-155332094499254/,https://www.facebook.com/AlianthosGardenHotel/,https://www.facebook.com/alianthosbeachhotel/,https://www.facebook.com/alianthosbeachplakias/,,,,,,
Plakias,Sofia Hotel,,https://www.sofiahotelplakias.com/,,https://www.facebook.com/castelloplakias/,https://www.facebook.com/vrisirestaurant/,https://www.facebook.com/michaelaapartment/,https://www.facebook.com/staviohouses/,,,,,,
Platanes,Nefeli Hotel,,https://nefeli-hotel.gr/,https://www.facebook.com/NefeliHotel,https://www.facebook.com/PlataniasMare/,https://www.facebook.com/Platanes.Crete/,https://www.facebook.com/NefeliHotel/,https://www.facebook.com/pages/category/Hotel-Resort/Caldera-Group-Of-Hotels-180731775465648/,https://www.facebook.com/Filoxeniachania/,https://www.facebook.com/pages/category/Food---Beverage-Company/Nefeli-Mediterranean-Specialties-414250801967958/,https://www.facebook.com/Villa-Nefeli-Corfu-Kerkyra-147722901959316/,https://www.facebook.com/roomsnefeli/,https://www.facebook.com/Villa.Maraki.Skiathos/,
Platanias,Rethymno Village,,https://www.rethymnovillage.gr/,https://www.facebook.com/RethymnoVillageHotel,https://www.facebook.com/RethymnoVillageHotel/,https://www.facebook.com/kalypsohotel/,https://www.facebook.com/rethymnotaxi/,https://www.facebook.com/elena.pelagiavillas/,,,,,,
Plimmiri,TUI MAGIC LIFE Plimmiri,,https://www.magiclife.com/en/en/home/,https://www.facebook.com/tuimagiclife,https://www.facebook.com/magiclifeplimmiribyatlantica/,https://www.facebook.com/teensclubTMLplimmiri/,https://www.facebook.com/Magic-Life-Plimmiri-Watersports-245547725804368/,,,,,,,
